"forecast_date","target","target_end_date","location","type","quantile","value"
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.45,407.33125
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.5,407.5
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.55,407.66875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.6,408.0625
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.65,408.5125
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.7,409.0375
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.75,410.2375
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.8,411.5875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.85,412
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.9,412
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.95,425.6
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.975,454.4
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","quantile",0.99,470.96
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","US","point",NA,393
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.01,318.63
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.025,320.7
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.05,324.3
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.1,327.6625
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.15,330.8125
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.2,336.3
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.25,347.1
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.3,356.1
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.35,357
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.4,357.1
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.45,358.325
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.5,359
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.55,359.675
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.6,360.9
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.65,361
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.7,361.1875
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.75,363.0625
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.8,365.3125
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.85,385.0625
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.9,412.5125
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.95,427.85
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.975,429.65
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","quantile",0.99,430.685
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","US","point",NA,357
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.01,133.63
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.025,135.7
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.05,139.3
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.1,141
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.15,141
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.2,141
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.25,141
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.3,141.075
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.35,141.4875
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.4,142.0125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.45,143.325
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.5,144
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.55,144.675
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.6,146.775
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.65,151.125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.7,155.8125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.75,162.1875
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.8,168.9375
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.85,173.8125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.9,177.8625
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.95,197.6375
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.975,234.9875
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","quantile",0.99,256.46375
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","US","point",NA,141
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.01,1.07875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.025,1.3375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.05,1.7875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.1,2
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.15,2
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.2,2.1375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.25,2.5875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.3,2.9625
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.35,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.4,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.45,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.5,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.55,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.6,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.65,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.7,3.075
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.75,3.825
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.8,4.725
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.85,5
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.9,5
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.95,5.6375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.975,6.9875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","quantile",0.99,7.76375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","01","point",NA,3
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.01,0
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.025,0
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.05,0
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.1,0
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.15,0
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.2,0.1375
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.25,0.5875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.3,1.0375
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.35,1.4875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.4,1.9125
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.45,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.5,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.55,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.6,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.65,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.7,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.75,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.8,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.85,2.3125
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.9,2.7625
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.95,3.425
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.975,4.325
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","quantile",0.99,4.8425
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","01","point",NA,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.01,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.025,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.05,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.1,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.15,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.2,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.25,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.3,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.35,0
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.4,0.025
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.45,0.33125
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.5,0.5
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.55,0.66875
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.6,1.0625
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.65,1.5125
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.7,1.925
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.75,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.8,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.85,2.625
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.9,3.525
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.95,4.425
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.975,5.325
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","quantile",0.99,5.8425
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","01","point",NA,2
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.01,2
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.025,2
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.05,2
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.1,2
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.15,2
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.2,2.1375
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.25,2.5875
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.3,2.9625
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.35,3
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.4,3.025
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.45,3.33125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.5,3.5
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.55,3.66875
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.6,3.975
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.65,4
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.7,4.0375
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.75,4.4125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.8,4.8625
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.85,5
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.9,5
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.95,5
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.975,5
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","quantile",0.99,5
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","01","point",NA,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.01,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.025,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.05,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.1,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.15,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.2,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.25,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.3,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.35,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.4,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.45,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.5,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.55,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.6,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.65,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.7,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.75,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.8,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.85,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.9,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.95,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.975,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","quantile",0.99,6
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","02","point",NA,6
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.01,0.07875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.025,0.3375
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.05,0.7875
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.1,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.15,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.2,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.25,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.3,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.35,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.4,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.45,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.5,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.55,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.6,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.65,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.7,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.75,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.8,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.85,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.9,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.95,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.975,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","quantile",0.99,1
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","02","point",NA,1
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.01,1
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.025,1
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.05,1
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.1,1.2375
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.15,1.6875
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.2,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.25,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.3,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.35,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.4,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.45,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.5,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.55,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.6,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.65,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.7,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.75,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.8,2
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.85,2.3125
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.9,2.7625
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.95,3.425
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.975,4.325
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","quantile",0.99,4.8425
2022-01-17,"3 wk ahead inc flu hosp	","2022-02-06","02","point",NA,2
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.01,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.025,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.05,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.1,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.15,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.2,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.25,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.3,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.35,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.4,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.45,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.5,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.55,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.6,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.65,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.7,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.75,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.8,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.85,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.9,0
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.95,0.2125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.975,0.6625
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","quantile",0.99,0.92125
2022-01-17,"4 wk ahead inc flu hosp	","2022-02-13","02","point",NA,0
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.01,1
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.025,1
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.05,1
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.1,1.2375
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.15,1.6875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.2,2
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.25,2
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.3,2
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.35,2
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.4,2.025
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.45,2.33125
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.5,2.5
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.55,2.66875
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.6,2.975
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.65,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.7,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.75,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.8,3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.85,3.3125
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.9,3.7625
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.95,5.7
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.975,9.3
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","quantile",0.99,11.37
2022-01-17,"1 wk ahead inc flu hosp","2022-01-23","04","point",NA,2
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","04","quantile",0.01,3
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","04","quantile",0.025,3
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","04","quantile",0.05,3
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","04","quantile",0.1,3
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","04","quantile",0.15,3
2022-01-17,"2 wk ahead inc flu hosp	","2022-01-30","04","quantile",0.2,3.1375
